District Name,Market Name,crop,Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,temp,humidity
Ahmednagar,Ahmednagar,Potato,1900,1150,09-Jan-24,28.4,37.8
Ahmednagar,Ahmednagar,Potato,3000,1800,22-Dec-24,26.8,44.8
Ahmednagar,Ahmednagar,Potato,1800,1300,01-Jan-24,25.5,52.8
Ahmednagar,Ahmednagar,Potato,3000,1900,21-Dec-24,26.4,46.6
Ahmednagar,Ahmednagar,Potato,3000,2100,26-Nov-24,27.1,44.9
Ahmednagar,Ahmednagar,Potato,3100,2300,09-Jul-24,26.9,48.2
Ahmednagar,Ahmednagar,Potato,3200,2600,26-Jul-24,26.1,58
Ahmednagar,Ahmednagar,Potato,2600,1550,04-Feb-25,26.6,55.2
Sholapur,Akluj,Potato,2000,1800,13-Jan-25,26.3,47.6
Sholapur,Akluj,Potato,3000,2800,14-Dec-24,26,45.3
Sholapur,Akluj,Potato,1800,1600,22-Feb-24,26.1,50.4
Sholapur,Akluj,Potato,2000,1800,04-Jan-24,25.1,64.5
Sholapur,Akluj,Potato,2000,1800,10-Jan-24,24.6,64
Sholapur,Akluj,Potato,1900,1800,28-Mar-24,23.9,64.2
Sholapur,Akluj,Potato,2200,2000,25-Dec-24,23.6,64.8
Sholapur,Akluj,Potato,2600,2500,18-May-24,24.1,60.7
Sholapur,Akluj,Potato,2700,2600,12-May-24,24,58.3
Sholapur,Akluj,Potato,3000,2700,02-Nov-24,23.7,58.2
Sholapur,Akluj,Potato,3000,2800,27-Nov-24,23.5,45.8
Sholapur,Akluj,Potato,3000,2800,23-Jun-24,23.2,41.5
Sholapur,Akluj,Potato,2000,1800,29-Jan-25,23.9,41.5
Akola,Akola,Potato,1600,1300,13-Feb-24,25.6,32.2
Akola,Akola,Potato,1600,1300,14-Feb-24,25.9,36.4
Akola,Akola,Potato,1600,1300,30-Jan-24,26.7,39.8
Akola,Akola,Potato,1700,1400,15-Feb-24,25.2,45.3
Akola,Akola,Potato,1700,1400,21-Mar-24,23.8,49.7
Akola,Akola,Potato,1700,1500,02-Feb-24,23.7,64.4
Akola,Akola,Potato,2200,1800,07-Mar-24,25.1,57
Akola,Akola,Potato,1800,1400,02-Jan-24,26.5,57.2
Akola,Akola,Potato,2000,1800,05-Jan-24,26.8,59.5
Akola,Akola,Potato,2300,2000,08-May-24,26.4,62.3
Akola,Akola,Potato,2400,2100,28-May-24,26.5,59.9
Akola,Akola,Potato,2400,2200,07-Jun-24,26.7,53
Akola,Akola,Potato,2700,2400,28-Nov-24,25.7,49.9
Akola,Akola,Potato,2800,2400,27-Aug-24,24.6,55.4
Akola,Akola,Potato,2800,2400,20-Jun-24,24.1,69.7
Akola,Akola,Potato,2800,2500,18-Nov-24,23.6,66.5
Akola,Akola,Potato,2800,2500,25-Sep-24,24,64.2
Akola,Akola,Potato,3000,2500,02-Aug-24,24,64.4
Akola,Akola,Potato,3000,2600,05-Aug-24,25.5,67.2
Akola,Akola,Potato,3000,2800,12-Jul-24,25.9,62.9
Akola,Akola,Potato,3200,2700,16-Jul-24,24.6,71
Amarawati,Amrawati(Frui & Veg. Market),Potato,1700,1000,13-Feb-24,23.8,67.8
Amarawati,Amrawati(Frui & Veg. Market),Potato,1500,950,29-Jan-24,23.8,62.6
Amarawati,Amrawati(Frui & Veg. Market),Potato,1600,1050,05-Jan-24,24.8,50.3
Amarawati,Amrawati(Frui & Veg. Market),Potato,2100,1300,23-Feb-24,25.3,43.5
Amarawati,Amrawati(Frui & Veg. Market),Potato,1400,1000,22-Jan-24,26,56.4
Amarawati,Amrawati(Frui & Veg. Market),Potato,1600,1100,03-Mar-24,26,75
Amarawati,Amrawati(Frui & Veg. Market),Potato,2800,1750,20-Jan-25,26.5,64.4
Amarawati,Amrawati(Frui & Veg. Market),Potato,2000,1400,31-Dec-24,26.6,69.9
Amarawati,Amrawati(Frui & Veg. Market),Potato,2600,1700,11-Jan-25,27.6,60.4
Amarawati,Amrawati(Frui & Veg. Market),Potato,2700,1750,27-Dec-24,28.2,46.3
Ahmednagar,Ahmednagar,Potato,1500,1000,10-Feb-24,27.4,34.3
Ahmednagar,Ahmednagar,Potato,1500,1000,19-Feb-24,26,57
Ahmednagar,Ahmednagar,Potato,1600,1050,31-Mar-24,25.7,76.3
Ahmednagar,Ahmednagar,Potato,1700,1100,23-Jan-24,25.9,69.5
Ahmednagar,Ahmednagar,Potato,2700,1650,22-Apr-24,26.3,68.4
Ahmednagar,Ahmednagar,Potato,3000,2400,19-Sep-24,27.6,67.8
Ahmednagar,Ahmednagar,Potato,3000,2500,24-Sep-24,27.5,72.9
Ahmednagar,Ahmednagar,Potato,3300,2650,22-Jul-24,27.7,69.6
Ahmednagar,Ahmednagar,Potato,2800,2550,22-Jun-24,28.6,62.9
Sholapur,Akluj,Potato,1700,1600,27-Jan-24,29.5,63.5
Sholapur,Akluj,Potato,1800,1600,10-Feb-24,30.8,52.6
Sholapur,Akluj,Potato,1800,1700,21-Feb-24,28.8,52.9
Sholapur,Akluj,Potato,1700,1700,17-Jan-24,28.8,55.6
Sholapur,Akluj,Potato,1800,1700,21-Mar-24,27.8,57.5
Sholapur,Akluj,Potato,2000,1900,01-Apr-24,28,53.9
Sholapur,Akluj,Potato,2700,2500,15-Jun-24,29.3,46.9
Sholapur,Akluj,Potato,2500,2500,09-Jun-24,29.1,49.3
Sholapur,Akluj,Potato,2700,2600,13-May-24,29.3,51.6
Sholapur,Akluj,Potato,2800,2600,15-Dec-24,29.7,59.7
Sholapur,Akluj,Potato,2800,2600,19-Apr-24,28,62.6
Sholapur,Akluj,Potato,2900,2800,24-Apr-24,27,69.1
Sholapur,Akluj,Potato,3000,2800,07-Aug-24,26.6,68
Sholapur,Akluj,Potato,3000,2800,16-Dec-24,27.4,61.6
Sholapur,Akluj,Potato,3200,3000,16-Aug-24,27.5,68.5
Sholapur,Akluj,Potato,3200,3000,30-Sep-24,27.5,72.1
Sholapur,Akluj,Potato,3000,2900,17-Oct-24,28.9,66.1
Sholapur,Akluj,Potato,3000,2900,19-Oct-24,31.2,51.8
Sholapur,Akluj,Potato,3100,3000,10-Nov-24,31.4,49.3
Akola,Akola,Potato,1600,1300,08-Feb-24,30.4,52
Akola,Akola,Potato,1600,1300,09-Feb-24,29.7,51.4
Akola,Akola,Potato,1600,1400,17-Jan-24,31.7,43
Akola,Akola,Potato,2100,1800,18-Jan-25,29.1,70
Akola,Akola,Potato,2200,1800,19-Apr-24,28.4,78.1
Akola,Akola,Potato,2300,2000,02-May-24,28.9,73.6
Akola,Akola,Potato,2300,2100,24-Apr-24,30.7,58.3
Akola,Akola,Potato,2400,2100,22-May-24,30.4,53.4
Akola,Akola,Potato,2400,2200,17-Dec-24,29,69.4
Akola,Akola,Potato,2500,2300,13-Jun-24,29.1,66.5
Akola,Akola,Potato,2800,2500,30-Sep-24,28.3,70.6
Akola,Akola,Potato,3200,2800,08-Jul-24,28.2,73.9
Akola,Akola,Potato,2800,2500,03-Sep-24,28.3,76.6
Akola,Akola,Potato,2800,2500,14-Sep-24,28.5,75.5
Akola,Akola,Potato,2800,2500,16-Nov-24,29.1,73.7
Akola,Akola,Potato,3000,2600,31-Jul-24,28.6,75.7
Akola,Akola,Potato,3000,2700,18-Jul-24,28.8,67.9
Akola,Akola,Potato,3000,2600,08-Aug-24,29.8,60.9
Akola,Akola,Potato,3000,2800,13-Aug-24,30.6,48.9
Amarawati,Amrawati(Frui & Veg. Market),Potato,1500,950,16-Feb-24,30.5,56.3
Amarawati,Amrawati(Frui & Veg. Market),Potato,1600,1000,27-Feb-24,30.3,62.1
Amarawati,Amrawati(Frui & Veg. Market),Potato,1800,1200,12-Mar-24,31,59.3
Amarawati,Amrawati(Frui & Veg. Market),Potato,2800,1700,15-Jan-25,30.7,61
Amarawati,Amrawati(Frui & Veg. Market),Potato,2800,1800,22-Jan-25,29.3,71.7
Amarawati,Amrawati(Frui & Veg. Market),Potato,2400,1700,15-May-24,29.2,69.8
Ahmednagar,Ahmednagar,Potato,2400,1450,12-Jan-25,29.4,69.2
Ahmednagar,Ahmednagar,Potato,1800,1250,08-Mar-24,29.2,71.2
Ahmednagar,Ahmednagar,Potato,2700,1750,11-May-24,28.8,71.4
Ahmednagar,Ahmednagar,Potato,2500,1700,26-Dec-24,30,71
Ahmednagar,Ahmednagar,Potato,2900,2250,26-May-24,30.5,67
Ahmednagar,Ahmednagar,Potato,3200,2600,08-Sep-24,30,71.2
Sholapur,Akluj,Potato,3000,2800,21-Nov-24,29.1,75
Sholapur,Akluj,Potato,1800,1600,02-Feb-24,28.6,69.5
Sholapur,Akluj,Potato,1800,1700,09-Feb-24,29.1,69.6
Sholapur,Akluj,Potato,1800,1600,09-Mar-24,29.1,69.1
Sholapur,Akluj,Potato,1800,1600,24-Jan-24,28.9,68.6
Sholapur,Akluj,Potato,1800,1700,07-Mar-24,29.5,69.8
Sholapur,Akluj,Potato,1800,1800,08-Mar-24,32.2,56.1
Sholapur,Akluj,Potato,2000,1900,23-Jan-25,31.7,58.3
Sholapur,Akluj,Potato,2200,2000,11-Jan-25,30.3,72.6
Sholapur,Akluj,Potato,2500,2500,22-May-24,29.9,71.4
Sholapur,Akluj,Potato,2800,2700,11-May-24,29.9,73.5
Sholapur,Akluj,Potato,3000,2600,08-Dec-24,30,74
Sholapur,Akluj,Potato,3000,2800,07-Dec-24,30.1,72.6
Sholapur,Akluj,Potato,3000,2800,21-Oct-24,29.9,73.5
Sholapur,Akluj,Potato,3000,2800,25-Nov-24,30.1,72
Sholapur,Akluj,Potato,3200,3000,17-Nov-24,29.9,69.8
Sholapur,Akluj,Potato,3000,2800,12-Oct-24,29.9,71.5
Sholapur,Akluj,Potato,3000,2800,22-Jun-24,30.3,72.4
Sholapur,Akluj,Potato,3200,3000,12-Sep-24,30,73.1
Sholapur,Akluj,Potato,3300,3000,09-Oct-24,30.1,75
Sholapur,Akluj,Potato,3100,3000,16-Oct-24,30.5,75.1
Sholapur,Akluj,Potato,3200,3000,22-Aug-24,30.2,76.7
Akola,Akola,Potato,1500,1200,20-Jan-24,30.7,75.4
Akola,Akola,Potato,1600,1300,12-Feb-24,31.1,74.3
Akola,Akola,Potato,1900,1500,22-Feb-24,30.7,75.9
Akola,Akola,Potato,2000,1800,30-Dec-24,30.8,76.5
Akola,Akola,Potato,2000,1900,04-Jan-24,30.9,76.2
Akola,Akola,Potato,2200,1800,04-Apr-24,31,76.9
Akola,Akola,Potato,2200,1900,29-Apr-24,31.3,73.7
Akola,Akola,Potato,2300,2100,14-May-24,31.3,73.1
Akola,Akola,Potato,2300,2100,17-May-24,31.5,72.7
Akola,Akola,Potato,2400,2100,20-May-24,31.5,71.7
Akola,Akola,Potato,2700,2400,04-Nov-24,31.5,72.4
Akola,Akola,Potato,2800,2500,06-Nov-24,31.6,71.7
Akola,Akola,Potato,2600,2400,09-Dec-24,31.7,72.1
Akola,Akola,Potato,2600,2400,10-Dec-24,31.7,70.6
Akola,Akola,Potato,2600,2400,14-Dec-24,31.6,70.3
Akola,Akola,Potato,2700,2500,18-Oct-24,31.5,70.8
Akola,Akola,Potato,2800,2400,24-Aug-24,31.6,70.8
Akola,Akola,Potato,2800,2500,05-Sep-24,31.8,69.2
Akola,Akola,Potato,2900,2600,05-Oct-24,31.8,69.4
Akola,Akola,Potato,3200,2800,10-Jul-24,31.8,69.1
Akola,Akola,Potato,2600,2400,19-Jun-24,31.8,69.3
Akola,Akola,Potato,2800,2500,13-Sep-24,31.8,68.1
Akola,Akola,Potato,2800,2500,18-Jun-24,31.7,71.3
