District Name,Market Name,crop,Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,temp,humidity
Ahmednagar,Ahmednagar,Onion,1600,1050,8-Apr-24,28.4,37.8
Ahmednagar,Ahmednagar,Onion,1650,1250,9-May-24,26.8,44.8
Ahmednagar,Ahmednagar,Onion,3100,2300,17-Jun-24,25.5,52.8
Ahmednagar,Ahmednagar,Onion,4500,3400,14-Oct-24,26.4,46.6
Ahmednagar,Ahmednagar,Onion,3500,2900,30-Dec-24,27.1,44.9
Ahmednagar,Ahmednagar,Onion,4800,3700,12-Dec-24,26.9,48.2
Sholapur,Akluj,Onion,2300,1300,29-May-24,26.1,58
Sholapur,Akluj,Onion,3500,1800,25-Dec-24,26.6,55.2
Sholapur,Akluj,Onion,2400,1100,23-Feb-24,26.3,47.6
Sholapur,Akluj,Onion,3000,2200,24-Jul-24,26,45.3
Sholapur,Akluj,Onion,4000,2800,16-Aug-24,26.1,50.4
Sholapur,Akluj,Onion,7100,4000,13-Dec-24,25.1,64.5
Sholapur,Akluj,Onion,5300,3500,14-Aug-24,24.6,64
Sholapur,Akluj,Onion,1500,1000,7-Apr-24,23.9,64.2
Sholapur,Akluj,Onion,3000,1800,9-Aug-24,23.6,64.8
Sholapur,Akluj,Onion,6500,4500,24-Nov-24,24.1,60.7
Sholapur,Akluj,Onion,4000,3500,1-Sep-24,24,58.3
Akola,Akola,Onion,1600,1300,31-May-24,23.7,58.2
Akola,Akola,Onion,1500,1200,3-May-24,23.5,45.8
Akola,Akola,Onion,1600,1300,13-Apr-24,23.2,41.5
Akola,Akola,Onion,1800,1200,6-May-24,23.9,41.5
Akola,Akola,Onion,1500,1200,5-Apr-24,25.6,32.2
Akola,Akola,Onion,1600,1400,20-Mar-24,25.9,36.4
Akola,Akola,Onion,2000,1800,16-Jan-24,26.7,39.8
Akola,Akola,Onion,3000,2500,14-Oct-24,25.2,45.3
Akola,Akola,Onion,2200,1800,28-Feb-24,23.8,49.7
Akola,Akola,Onion,2200,2000,13-Jan-24,23.7,64.4
Akola,Akola,Onion,2300,2000,11-Jan-24,25.1,57
Akola,Akola,Onion,3500,2500,16-Oct-24,26.5,57.2
Akola,Akola,Onion,4000,3200,22-Oct-24,26.8,59.5
Akola,Akola,Onion,4000,3200,23-Oct-24,26.4,62.3
Akola,Akola,Onion,2800,2400,2-Aug-24,26.5,59.9
Akola,Akola,Onion,3000,2500,5-Aug-24,26.7,53
Akola,Akola,Onion,3000,2500,5-Jul-24,25.7,49.9
Akola,Akola,Onion,3200,2500,31-Dec-24,24.6,55.4
Akola,Akola,Onion,4500,3800,24-Aug-24,24.1,69.7
Akola,Akola,Onion,4500,3500,7-Dec-24,23.6,66.5
Akola,Akola,Onion,4500,3800,26-Aug-24,24,64.2
Ahmednagar,Akole,Onion,1700,1400,17-Mar-24,24,64.4
Ahmednagar,Akole,Onion,4100,3500,1-Oct-24,25.5,67.2
Ahmednagar,Akole,Onion,4500,4200,17-Oct-24,25.9,62.9
Ahmednagar,Akole,Onion,4551,3900,6-Oct-24,24.6,71
Amarawati,Amrawati(Frui & Veg. Market),Onion,2100,1300,9-Mar-24,23.8,67.8
Amarawati,Amrawati(Frui & Veg. Market),Onion,2000,1300,3-Jun-24,23.8,62.6
Amarawati,Amrawati(Frui & Veg. Market),Onion,1800,1250,19-Jan-24,24.8,50.3
Amarawati,Amrawati(Frui & Veg. Market),Onion,2400,1600,3-Jan-24,25.3,43.5
Amarawati,Amrawati(Frui & Veg. Market),Onion,3200,2700,26-Jun-24,26,56.4
